,LA_13_7_S2,LA_13_7_S5,LA_13_7_SB1,LA_14_7_S2,LA_14_7_S3,LA_14_7_SB2,LA_14_7_SB3,LA_14_7_SB7,LA_14_7_SB9,LA_15_7_S2,LA_15_7_S3,LA_15_7_SB4,LA_15_7_SB1,LA_15_7_SB2,LA_20_7_SB1,LA_20_7_SB3,LA_20_7_SB2,LA_21_7_S1,LA_21_7_S5,LA_21_7_SB2,LA_21_7_SB4,LA_21_7_SB5,LA_22_7_SB1,LA_22_7_SB2,LA_22_7_SB3,LA_22_7_S1,LA_23_7_S1,LA_23_7_S2,LA_24_7_SB2,LA_24_7_S2,LA_25_7_S2,LA_25_7_S4,LA_25_7_S5
0,0.26689034629999997,0.2962998305,0.3737928382,0.3710833825,0.5116490988,0.45844647590000004,0.3657582488,0.3066466831,0.2654375665,0.36114708619999997,0.6814798173000001,0.5293696018,0.6854370857,0.4282541689,0.4197844356,0.3943462894,0.4302794801,0.4426415621,0.3622017329,0.1974919913,0.32949008620000003,0.32730587440000003,0.2615117621,0.37128661560000004,0.43700980590000005,0.4689095768,0.3667335417,0.43532014700000005,0.2639533757,0.36706549780000003,0.34209891130000003,0.39745176880000005,0.2914084114
1,0.2668156143,0.2964456904,0.3741033461,0.371119054,0.5112918188000001,0.4581934712,0.36583859329999996,0.3065406036,0.2653791505,0.36107322729999997,0.681596799,0.5289578061,0.6847004279000001,0.42811081479999996,0.41942653469999996,0.394204603,0.4301851907,0.44237710049999995,0.3619712735,0.197526183,0.3296164093,0.32723121850000003,0.2614374786,0.37115769590000003,0.4366704556,0.46884327020000005,0.36656133259999996,0.4352547856,0.263808946,0.36700329020000005,0.3418888472,0.3974506432,0.2913213362
2,0.266795135,0.296525264,0.3732677399,0.37122607630000004,0.5110023939,0.4579489349,0.3659555987,0.3065841293,0.2653441127,0.36094414340000003,0.6817992440999999,0.5285706153,0.6840936581999999,0.4280697441,0.4191218686,0.3940985999,0.4300256577,0.4420501608,0.36181787159999995,0.197563076,0.3297363318,0.3270606077,0.2613981736,0.3710103829,0.4363174855,0.4687602225,0.3664410783,0.4350882761,0.26362646079999996,0.36686240299999995,0.3418306713,0.3974904008,0.2912967837
3,0.2667721922,0.2965808872,0.3725688824,0.3712787274,0.5108023784000001,0.4577200796,0.36606210100000003,0.3066789541,0.2653160084,0.3608055799,0.6820583231,0.5281408248,0.6835634412,0.4280123562,0.41883619520000004,0.394078535,0.42970651340000005,0.4416484114,0.3617178231,0.19754673539999998,0.3298151599,0.3268438284,0.26134379690000004,0.3709535692,0.43590994759999996,0.4686188739,0.36633246840000006,0.43481750420000004,0.2634709777,0.3667562672,0.34181980799999995,0.3975190415,0.2912557389
4,0.26667671670000004,0.296683313,0.3739066818,0.3711598649,0.5106513099000001,0.4575395496,0.3661231178,0.3066662368,0.2652889168,0.360704546,0.6822986641,0.5275805099,0.6830121957999999,0.4277231278,0.4185008803,0.3942127797,0.4292222905,0.44120574840000004,0.36159516880000003,0.1974545713,0.3298592305,0.3267170538,0.2612229278,0.3710716005,0.4354478359,0.4683947657,0.366168305,0.4345090113,0.2634485527,0.3668218949,0.3417064229,0.3974859797,0.2911171855
5,0.26662237629999996,0.29678267350000004,0.37431804,0.3711073551,0.5105657343,0.45732421310000004,0.3661595364,0.3067472012,0.2652814203,0.3604567911,0.6825736411,0.5270040515,0.6824555029,0.42729176350000003,0.4181494783,0.3945049028,0.4288909147,0.440767211,0.3613767813,0.19749666219999998,0.3299202345,0.326536202,0.2610879652,0.37111044880000005,0.43505890740000003,0.46815818789999997,0.3658912903,0.43402712979999997,0.2634007898,0.3668514171,0.3417130676,0.3974270038,0.2911704165
6,0.2665585787,0.2968812698,0.37410490840000005,0.37117782039999997,0.5104376837,0.4571133035,0.36620035030000003,0.3068198011,0.2652435774,0.3601640154,0.6828009232,0.5264558155,0.6818697982999999,0.4268923603,0.4177697418,0.3947674226,0.42860818100000003,0.4404162381,0.3611685217,0.1975609024,0.3299931145,0.3263528871,0.2608771661,0.3710738361,0.4346925436,0.4679578593,0.3656192742,0.4337263928,0.2633014352,0.366900505,0.34168206170000004,0.39735456329999996,0.2912124277
7,0.2664527419,0.2969985578,0.37374906700000005,0.3713185445,0.5101894972,0.45691371119999996,0.366242138,0.3068239388,0.2651510875,0.35992508289999997,0.6829352790000001,0.5259497522,0.6812589029,0.42664384689999996,0.4173799382,0.3948240417,0.4282929912,0.44016544840000005,0.36101336450000004,0.197553323,0.3300419073,0.3262090667,0.2606139489,0.37101747590000006,0.43428062380000004,0.4677979639,0.36541755929999997,0.43371569579999997,0.2631698082,0.3669815529,0.3415220411,0.3972951414,0.2911089182
8,0.26638093079999997,0.29720238460000004,0.3729559862,0.37124759240000005,0.5098208751,0.45659436979999996,0.3661864437,0.3069199503,0.2650581267,0.35967454179999997,0.6830846172,0.5254740157,0.6807381278,0.4265308728,0.41712454409999994,0.3945149936,0.4281001215,0.4398563571,0.36072680590000006,0.1975187736,0.3299431113,0.3260891373,0.26060788170000004,0.3710583042,0.43375869899999997,0.4675894461,0.3651643101,0.4333220143,0.2631174481,0.3668990777,0.34142747,0.3973328711,0.2910669697
9,0.2662597946,0.29729685510000003,0.3722520596,0.371130631,0.5096188981,0.45635360090000004,0.3661003686,0.3069100629,0.2650069798,0.3595417982,0.6831937073000001,0.5250175127000001,0.6801990303000001,0.4264820165,0.41681366020000005,0.39424170280000004,0.4278637872,0.4395525794,0.3604601531,0.1975356981,0.3299071068,0.3258448914,0.260616589,0.3710150705,0.433354939,0.46734533850000004,0.36494973119999996,0.4329029371,0.26296415019999997,0.3667651652,0.34136565469999997,0.39737066649999997,0.29094530879999997
