,HA_13_7_SB2,HA_13_7_SB4,HA_14_7_S5,HA_14_7_SB1,HA_14_7_SB5,HA_14_7_SB10,HA_15_7_SB3,HA_21_7_S3,HA_21_7_SB1,HA_21_7_SB7,HA_21_7_SB8,HA_22_7_SB4,HA_22_7_SB5,HA_22_7_S3,HA_22_7_S5,HA_23_7_SB3,HA_23_7_SB4,HA_23_7_SB5,HA_23_7_S3,HA_23_7_S5,HA_24_7_SB2,HA_24_7_S1,HA_25_7_S1
1656,0.0263468163,0.016522837699999994,0.010871869899999992,0.03816110090000001,0.017791700100000016,0.02117715799999999,0.00035331100000000285,0.022666444999999986,0.0172084334,0.019019149099999997,0.004710143799999997,0.0007738053000000055,0.019218760799999988,-0.006150712600000011,0.005654626399999979,0.0016652788000000012,0.016375982100000006,-0.012387626900000006,0.02749258010000001,0.0188412575,-0.0041050995999999925,0.010056617200000005,0.017034777399999992
1657,0.0264933932,0.016936353199999997,0.010031315599999993,0.038033412700000005,0.018295093800000016,0.021197630399999993,0.00030412240000000316,0.022610041299999988,0.017316442300000002,0.018971810699999998,0.004661375399999996,0.0006396939000000057,0.01914025249999999,-0.00614864840000001,0.005458002799999979,0.0015330706000000012,0.016388936800000007,-0.012496892200000005,0.02763162320000001,0.01888084,-0.003737658399999993,0.010063734300000005,0.01707909119999999
1658,0.0265117276,0.016999717399999996,0.010310138599999992,0.038293832400000005,0.018394587800000015,0.02115387879999999,0.00028273730000000306,0.022563239499999988,0.0173610856,0.0189562145,0.004637109899999997,0.0005810525000000057,0.01915149889999999,-0.00612681380000001,0.005431999799999979,0.0015097926000000013,0.016357648100000007,-0.012502497500000005,0.027681616700000012,0.018787647499999997,-0.003680521499999992,0.010134179500000005,0.01707318829999999
1659,0.0266244782,0.016782173799999998,0.010515373899999993,0.03944861300000001,0.018616474500000015,0.02101014039999999,0.0003112257000000029,0.022442867199999987,0.0173851071,0.018980493999999997,0.0045016832999999964,0.0004499350000000059,0.019232589499999987,-0.006040558100000011,0.005551213299999979,0.0014999414000000013,0.016284339700000008,-0.012526804500000004,0.02778613320000001,0.018529214099999997,-0.0038342939999999924,0.010379082900000005,0.017095273599999992
1660,0.026720341999999998,0.0168839316,0.010460761599999993,0.039784388700000006,0.018612429400000012,0.021008564399999992,0.00031301750000000284,0.022414556499999988,0.017389839400000003,0.0190001224,0.004485858699999996,0.00038788110000000575,0.01926786719999999,-0.0059934923000000105,0.005557110399999979,0.0014803120000000019,0.016266383700000008,-0.012535607900000006,0.027815770900000012,0.0184706361,-0.003814370099999992,0.010410266400000005,0.017143019799999992
1661,0.0267905386,0.017285581099999996,0.011233197599999994,0.03975276700000001,0.018166054900000013,0.02102452779999999,0.0002999821000000029,0.02243418349999999,0.0172840546,0.0190340725,0.004609789999999996,0.00038733360000000553,0.01936833669999999,-0.005948955300000011,0.005539802899999979,0.0014502029000000019,0.01625643280000001,-0.012508066100000005,0.027664380800000013,0.018365972199999997,-0.0037372981999999923,0.010268270500000006,0.01718807659999999
1662,0.0266728391,0.017187835799999995,0.011563249999999994,0.03962501980000001,0.017991526100000016,0.021055116299999992,0.00027440190000000255,0.02237061389999999,0.0173050114,0.0190642501,0.004617648699999997,0.0003845445000000059,0.019380823199999987,-0.005941545400000011,0.005522821699999979,0.001453342100000002,0.01624818030000001,-0.012433565300000005,0.02766733080000001,0.018338785099999998,-0.003728442099999992,0.010239937600000006,0.01715786749999999
1663,0.0264828715,0.016891488299999997,0.011827450099999994,0.03894830610000001,0.017867383200000014,0.021155121599999993,0.00021344000000000267,0.022266482299999987,0.017395129000000002,0.0191486445,0.0045660070999999965,0.00035177810000000575,0.01932295399999999,-0.005985063300000011,0.005473964299999979,0.0014498298000000017,0.016313969000000008,-0.012329848500000004,0.02782148090000001,0.018391898999999996,-0.0036055209999999926,0.010165447000000005,0.01712974499999999
1664,0.0264002812,0.016711130399999996,0.010590458299999994,0.038918906200000006,0.017848241200000014,0.02136106629999999,0.0002116627000000029,0.022314881499999988,0.017480816200000002,0.0191502148,0.004588397199999997,0.00041395010000000584,0.01925485939999999,-0.00598420790000001,0.005416929599999979,0.0014700941000000021,0.016327394600000007,-0.012239003300000004,0.02788174430000001,0.018743972999999997,-0.0036415239999999915,0.010161498800000005,0.01711403409999999
1665,0.0260289545,0.016519201399999996,0.009824363999999993,0.0384291739,0.018024166800000015,0.021470333099999992,0.0002559543000000028,0.02229536589999999,0.0174764642,0.019071414999999998,0.004650686199999997,0.000525767000000006,0.019304497099999988,-0.00595663920000001,0.0054132011999999795,0.0014243898000000019,0.016306290900000006,-0.012095691700000005,0.02768413540000001,0.0188008109,-0.003798386299999992,0.010129231300000005,0.01707780889999999
1666,0.0258566252,0.016270300199999997,0.010025974299999994,0.03789409780000001,0.017948015600000016,0.02147135529999999,0.000242586100000003,0.02214579859999999,0.017625044,0.018996945299999998,0.004668373399999997,0.0006135057000000057,0.01929565569999999,-0.006005574200000011,0.0053882819999999795,0.0014809546000000015,0.016208310300000008,-0.012030745400000004,0.02755338950000001,0.018695987499999997,-0.003951187399999992,0.010029453300000005,0.017009464299999992
1667,0.0257762831,0.016220833299999994,0.010131591499999993,0.037972008200000004,0.017982087100000016,0.02145064479999999,0.00024684850000000324,0.022077918499999988,0.017635352700000002,0.019001531899999997,0.004644975499999996,0.0006087395000000059,0.01925477359999999,-0.005978229900000011,0.005371156699999979,0.001494427900000002,0.016184924700000006,-0.012065832400000004,0.02756133660000001,0.018670083999999997,-0.003939038899999993,0.009949871300000005,0.01699639449999999
1668,0.026021121,0.016587132899999996,0.010600857799999993,0.03879163110000001,0.018112200000000016,0.02135819869999999,0.0002865496000000029,0.02209294669999999,0.0175165403,0.019039047499999996,0.004649088399999997,0.0005468460000000053,0.01922396639999999,-0.005838401600000011,0.0053806889999999784,0.0014955918000000021,0.016187376600000008,-0.012191298800000003,0.02755092420000001,0.018585294599999996,-0.003790413299999992,0.009759301300000005,0.01711640409999999
