,CI_13_7_S1,CI_13_7_S3,CI_13_7_SB3,CI_13_7_SB5,CI_14_7_S1,CI_15_7_S1,CI_15_7_S4,CI_15_7_SB5,CI_21_7_S2,CI_21_7_S4,CI_21_7_SB3,CI_22_7_S2,CI_22_7_S4,CI_23_7_SB1,CI_23_7_SB2,CI_23_7_S4,CI_25_7_S3
1444,0.02309657327678572,0.028901165200000002,0.013307674114285717,0.019628879589285716,0.014553781873214286,0.025070385132142863,0.04210632555357143,0.031561757585714285,0.03501644064285714,0.03330641195535716,0.030641692321428576,0.024476085682142858,0.031183498580357138,0.030153749271428575,0.026676279971428577,0.030370472610714287,0.03091369427142857
1445,0.02308094466071429,0.028867795560000003,0.013295775539047622,0.019607805802380952,0.014574158759285714,0.025036042246190483,0.04203502652142857,0.031510331954285715,0.034975313190476184,0.03326638319880955,0.0305959277952381,0.02444388711952381,0.03114568534880952,0.030118655588571432,0.02664365548190477,0.03033821195761905,0.03091179592190476
1446,0.023065316044642865,0.028834425920000004,0.013283876963809527,0.019586732015476192,0.014594535645357141,0.025001699360238102,0.041963727489285715,0.031458906322857146,0.03493418573809523,0.03322635444226193,0.030550163269047623,0.024411688556904763,0.0311078721172619,0.03008356190571429,0.02661103099238096,0.03030595130452381,0.03090989757238095
1447,0.023049687428571435,0.02880105628,0.013271978388571432,0.01956565822857143,0.01461491253142857,0.02496735647428572,0.04189242845714286,0.03140748069142857,0.03489305828571428,0.03318632568571431,0.03050439874285715,0.024379489994285714,0.03107005888571428,0.030048468222857144,0.026578406502857147,0.030273690651428573,0.03090799922285714
1448,0.023034058812500008,0.02876768664,0.013260079813333336,0.01954458444166667,0.014635289417499999,0.02493301358833334,0.041821129425,0.03135605506,0.03485193083333333,0.033146296929166694,0.030458634216666673,0.024347291431666668,0.031032245654166662,0.030013374540000002,0.02654578201333334,0.030241429998333333,0.03090610087333333
1449,0.023018430196428578,0.028734317000000002,0.013248181238095241,0.019523510654761905,0.014655666303571428,0.02489867070238096,0.041749830392857144,0.03130462942857143,0.034810803380952375,0.03310626817261907,0.030412869690476196,0.02431509286904762,0.030994432422619043,0.02997828085714286,0.02651315752380953,0.030209169345238096,0.030904202523809522
1450,0.022987785851190483,0.028668886333333338,0.0132248506984127,0.019482189503968253,0.014695620982142856,0.02483133171031747,0.04161002836904761,0.03120379485714286,0.03473016131746031,0.033027780414682566,0.03032313532539683,0.024251958432539678,0.030920288831349202,0.029909469714285715,0.026449187936507947,0.030145913162698414,0.03090048026984127
1451,0.022957141505952388,0.02860345566666667,0.01320152015873016,0.019440868353174604,0.014735575660714284,0.024763992718253976,0.041470226345238094,0.031102960285714288,0.03464951925396825,0.03294929265674606,0.03023340096031746,0.024188823996031745,0.030846145240079365,0.029840658571428574,0.026385218349206357,0.03008265698015873,0.030896758015873015
1452,0.022926497160714293,0.028538025000000005,0.01317818961904762,0.019399547202380952,0.014775530339285713,0.024696653726190485,0.04133042432142857,0.031002125714285716,0.03456887719047618,0.03287080489880955,0.030143666595238098,0.02412568955952381,0.030772001648809524,0.029771847428571432,0.02632124876190477,0.03001940079761905,0.030893035761904764
1453,0.022895852815476195,0.028472594333333337,0.013154859079365082,0.0193582260515873,0.01481548501785714,0.024629314734126995,0.04119062229761905,0.030901291142857144,0.03448823512698412,0.032792317140873044,0.03005393223015873,0.02406255512301587,0.03069785805753968,0.029703036285714288,0.026257279174603184,0.02995614461507937,0.030889313507936507
1454,0.0228652084702381,0.028407163666666672,0.013131528539682542,0.01931690490079365,0.014855439696428569,0.0245619757420635,0.04105082027380953,0.03080045657142857,0.03440759306349205,0.032713829382936536,0.029964197865079364,0.023999420686507938,0.03062371446626984,0.029634225142857143,0.026193309587301594,0.029892888432539687,0.030885591253968253
1455,0.022834564125000005,0.028341733000000008,0.013108198000000001,0.01927558375,0.014895394374999999,0.02449463675000001,0.04091101825000001,0.030699622000000003,0.034326950999999994,0.03263534162500003,0.0298744635,0.023936286249999997,0.030549570875,0.029565413999999998,0.026129340000000004,0.02982963225,0.030881869000000003
1456,0.02280391977976191,0.02827630233333334,0.013084867460317461,0.019234262599206346,0.014935349053571429,0.024427297757936516,0.04077121622619049,0.03059878742857143,0.03424630893650793,0.03255685386706352,0.029784729134920633,0.02387315181349206,0.03047542728373016,0.029496602857142857,0.026065370412698418,0.029766376067460323,0.03087814674603175
1457,0.022773275434523815,0.028210871666666675,0.013061536920634925,0.019192941448412697,0.014975303732142859,0.02435995876587302,0.04063141420238096,0.030497952857142862,0.034165666873015865,0.032478366109127015,0.029694994769841266,0.023810017376984124,0.030401283692460316,0.029427791714285716,0.026001400825396828,0.02970311988492064,0.0308744244920635
1458,0.022742631089285717,0.028145441000000004,0.013038206380952384,0.019151620297619045,0.015015258410714289,0.02429261977380953,0.040491612178571425,0.03039711828571429,0.0340850248095238,0.03239987835119051,0.029605260404761902,0.023746882940476187,0.03032714010119047,0.02935898057142857,0.02593743123809524,0.02963986370238096,0.03087070223809524
1459,0.022711986744047622,0.02808001033333334,0.013014875841269844,0.019110299146825396,0.015055213089285719,0.024225280781746034,0.0403518101547619,0.030296283714285718,0.034004382746031736,0.032321390593254,0.029515526039682535,0.02368374850396825,0.030252996509920634,0.02929016942857143,0.025873461650793655,0.029576607519841275,0.030866979984126987
1460,0.022681342398809527,0.02801457966666667,0.012991545301587304,0.019068977996031744,0.015095167767857149,0.024157941789682544,0.040212008130952374,0.030195449142857145,0.03392374068253968,0.03224290283531749,0.02942579167460317,0.023620614067460317,0.030178852918650793,0.02922135828571429,0.025809492063492066,0.029513351337301593,0.03086325773015873
1461,0.022650698053571432,0.027949149000000006,0.012968214761904764,0.019027656845238092,0.015135122446428579,0.024090602797619053,0.040072206107142856,0.030094614571428573,0.03384309861904761,0.032164415077380985,0.029336057309523805,0.02355747963095238,0.030104709327380953,0.02915254714285714,0.025745522476190483,0.029450095154761907,0.03085953547619048
1462,0.022620053708333338,0.027883718333333342,0.012944884222222224,0.018986335694444443,0.015175077125000009,0.02402326380555556,0.03993240408333334,0.02999378,0.03376245655555555,0.03208592731944448,0.029246322944444438,0.023494345194444443,0.03003056573611111,0.029083736,0.025681552888888893,0.029386838972222225,0.030855813222222226
