,CI_13_7_S1,CI_13_7_S3,CI_13_7_SB3,CI_13_7_SB5,CI_14_7_S1,CI_15_7_S1,CI_15_7_S4,CI_15_7_SB5,CI_21_7_S2,CI_21_7_S4,CI_21_7_SB3,CI_22_7_S2,CI_22_7_S4,CI_23_7_SB1,CI_23_7_SB2,CI_23_7_S4,CI_25_7_S3
1412,0.003331161630964271,0.019321964180190464,0.02879424342883334,0.02348528254100004,-0.0041242907392142905,0.013502160032023848,0.030239899391321445,0.033535493028011926,-0.004992576271190441,0.028721354631547638,0.06405245760638102,0.003909003476083333,0.007402239464380937,0.024666793899869043,0.04816360464810713,0.02240356903841665,0.02849206469057143
1413,0.003322541979499985,0.019309121978666653,0.028775916615666672,0.02347078869800004,-0.004120997073000005,0.013480195888333373,0.030187466544500018,0.033513328730166686,-0.005024594876666632,0.028679475141666685,0.0640063753453334,0.0038676527511666663,0.007378175569333318,0.02464531019216666,0.04814495625949999,0.022386520079833317,0.028488096536000002
1414,0.0033139223280356993,0.019296279777142843,0.028757589802500007,0.02345629485500004,-0.004117703406785719,0.013458231744642895,0.030135033697678587,0.033491164432321446,-0.005056613482142822,0.02863759565178573,0.06396029308428577,0.0038263020262499993,0.007354111674285699,0.024623826484464283,0.048126307870892844,0.022369471121249984,0.028484128381428574
1415,0.0033053026765714135,0.019283437575619036,0.02873926298933334,0.023441801012000038,-0.0041144097405714335,0.01343626760095242,0.03008260085085716,0.033469000134476214,-0.005088632087619013,0.02859571616190478,0.06391421082323816,0.003784951301333333,0.00733004777923808,0.0246023427767619,0.0481076594822857,0.02235242216266665,0.028480160226857145
1416,0.0032966830251071277,0.019270595374095225,0.028720936176166674,0.023427307169000038,-0.004111116074357148,0.013414303457261944,0.03003016800403573,0.033446835836630974,-0.005120650693095204,0.028553836672023828,0.06386812856219054,0.0037436005764166663,0.007305983884190461,0.02458085906905952,0.04808901109367856,0.02233537320408332,0.028476192072285716
1417,0.0032880633736428423,0.019257753172571414,0.028702609363000006,0.023412813326000037,-0.004107822408142862,0.013392339313571467,0.029977735157214302,0.033424671538785734,-0.005152669298571394,0.028511957182142875,0.06382204630114292,0.0037022498514999993,0.007281919989142842,0.024559375361357137,0.048070362705071416,0.022318324245499985,0.028472223917714288
1418,0.0032794437221785565,0.019244910971047607,0.02868428254983334,0.023398319483000037,-0.004104528741928576,0.013370375169880992,0.029925302310392872,0.033402507240940495,-0.0051846879040475845,0.028470077692261925,0.0637759640400953,0.003660899126583333,0.007257856094095223,0.024537891653654758,0.048051714316464274,0.02230127528691665,0.02846825576314286
1419,0.0032708240707142707,0.019232068769523797,0.028665955736666672,0.023383825640000036,-0.004101235075714291,0.013348411026190514,0.029872869463571445,0.033380342943095255,-0.0052167065095237745,0.02842819820238097,0.06372988177904769,0.0036195484016666663,0.007233792199047604,0.024516407945952376,0.04803306592785713,0.022284226328333316,0.02846428760857143
1420,0.003262204419249985,0.019219226567999986,0.028647628923500007,0.02336933179700004,-0.004097941409500005,0.013326446882500039,0.029820436616750014,0.03335817864525002,-0.005248725114999965,0.028386318712500018,0.06368379951800006,0.0035781976767499998,0.007209728303999984,0.024494924238249994,0.04801441753924999,0.022267177369749983,0.028460319454000002
1421,0.003253584767785699,0.01920638436647618,0.02862930211033334,0.02335483795400004,-0.004094647743285719,0.013304482738809563,0.029768003769928587,0.03333601434740478,-0.005280743720476155,0.028344439222619068,0.06363771725695244,0.003536846951833333,0.0071856644089523655,0.024473440530547615,0.047995769150642846,0.02225012841116665,0.028456351299428573
1422,0.0032449651163214137,0.01919354216495237,0.028610975297166674,0.023340344111000038,-0.004091354077071434,0.013282518595119086,0.029715570923107157,0.03331385004955954,-0.005312762325952346,0.028302559732738115,0.06359163499590482,0.0034954962269166663,0.007161600513904747,0.024451956822845233,0.047977120762035703,0.022233079452583317,0.028452383144857145
1423,0.003236345464857128,0.019180699963428558,0.028592648484000005,0.023325850268000037,-0.004088060410857148,0.01326055445142861,0.02966313807628573,0.0332916857517143,-0.005344780931428537,0.02826068024285716,0.06354555273485721,0.0034541455019999993,0.007137536618857128,0.02443047311514285,0.04795847237342856,0.022216030493999984,0.028448414990285716
1424,0.003227725813392842,0.01916785776190475,0.02857432167083334,0.023311356425000037,-0.004084766744642861,0.013238590307738135,0.029610705229464303,0.033269521453869064,-0.005376799536904727,0.02821880075297621,0.06349947047380959,0.003412794777083333,0.007113472723809508,0.02440898940744047,0.04793982398482141,0.02219898153541665,0.028444446835714288
1425,0.0032191061619285563,0.01915501556038094,0.028555994857666675,0.023296862582000036,-0.004081473078428576,0.013216626164047658,0.029558272382642872,0.03324735715602383,-0.005408818142380918,0.028176921263095258,0.06345338821276197,0.0033714440521666663,0.007089408828761889,0.02438750569973809,0.04792117559621427,0.02218193257683332,0.02844047868114286
1426,0.0032104865104642705,0.01914217335885713,0.028537668044500007,0.023282368739000036,-0.00407817941221429,0.013194662020357182,0.029505839535821445,0.03322519285817859,-0.005440836747857108,0.028135041773214305,0.06340730595171434,0.00333009332725,0.00706534493371427,0.02436602199203571,0.047902527207607126,0.022164883618249986,0.02843651052657143
1427,0.003201866858999985,0.01912933115733332,0.02851934123133334,0.023267874896000035,-0.004074885746000004,0.013172697876666705,0.029453406689000015,0.03320302856033335,-0.005472855353333299,0.02809316228333335,0.06336122369066673,0.003288742602333333,0.007041281038666651,0.024344538284333327,0.047883878818999984,0.022147834659666653,0.028432542372000002
1428,0.0031932472075356993,0.019116488955809512,0.028501014418166673,0.023253381053000035,-0.004071592079785719,0.01315073373297623,0.029400973842178588,0.03318086426248811,-0.005504873958809489,0.0280512827934524,0.06331514142961911,0.0032473918774166663,0.0070172171436190325,0.024323054576630948,0.04786523043039284,0.02213078570108332,0.028428574217428573
1429,0.0031846275560714135,0.019103646754285702,0.028482687605000008,0.023238887210000038,-0.004068298413571433,0.013128769589285754,0.029348540995357157,0.03315869996464288,-0.00553689256428568,0.028009403303571448,0.06326905916857149,0.0032060411524999994,0.006993153248571414,0.024301570868928566,0.0478465820417857,0.022113736742499987,0.028424606062857145
