,SN_13_7_S4,SN_14_7_S4,SN_14_7_SB6,SN_14_7_SB8,SN_17_7_SB1,SN_17_7_SB2
0,0.67811911,0.688841481,0.6917443390000001,0.7669027909999999,0.841335141,0.859516231
1,0.677978613,0.688729466,0.692062637,0.767341394,0.841014873,0.859276499
2,0.6778912890000001,0.688663392,0.692448684,0.76768557,0.840807993,0.859087519
3,0.678077277,0.689146437,0.69244651,0.7677119920000001,0.840781285,0.8591150390000001
4,0.677914873,0.689338626,0.692661491,0.7678282909999999,0.840695854,0.859183135
5,0.677767931,0.689354232,0.69293939,0.767935569,0.840591503,0.859261084
6,0.677850603,0.689414819,0.6930914770000001,0.7679598679999999,0.840517326,0.859315805
7,0.677812793,0.689763841,0.692972571,0.76800854,0.84048421,0.859241093
8,0.677723964,0.690161738,0.6930169840000001,0.768080805,0.840373877,0.859202858
9,0.677630854,0.6904813240000001,0.693210242,0.768159723,0.8402243620000001,0.859234565
10,0.6775688740000001,0.690678352,0.693149748,0.768208753,0.840209258,0.859257443
11,0.6775040370000001,0.690775661,0.693408872,0.7683735309999999,0.840240441,0.859382055
12,0.677410945,0.690912684,0.693693813,0.768552454,0.840231208,0.859544603
13,0.6772739529999999,0.6912208609999999,0.6936043279999999,0.768622703,0.8401224140000001,0.859642755
14,0.677105924,0.691625753,0.693632444,0.768780111,0.8400465,0.859649964
15,0.677012944,0.6918319959999999,0.6937431559999999,0.7689960440000001,0.83991784,0.859593904
16,0.677014265,0.691765959,0.6938547829999999,0.7692055240000001,0.8397008659999999,0.859521394
17,0.676910454,0.691872486,0.693899267,0.769297095,0.8395052190000001,0.859520924
18,0.676849238,0.6920697090000001,0.693878585,0.7693853429999999,0.8393823429999999,0.859515389
19,0.676801146,0.692315215,0.693873898,0.769508738,0.83931382,0.859487298
20,0.676565764,0.6925881709999999,0.694060973,0.76964335,0.839207825,0.8594703370000001
21,0.676436137,0.69273405,0.694201024,0.76975476,0.839198088,0.859476447
22,0.676403848,0.6928412270000001,0.694261919,0.769860763,0.839217491,0.8595162959999999
23,0.676369324,0.693069045,0.694296692,0.7699932420000001,0.839150273,0.859594625
24,0.676402251,0.693372952,0.694427688,0.770114203,0.839097917,0.859694801
25,0.676456738,0.693563039,0.69456741,0.770273468,0.839080609,0.85982043
26,0.6764756120000001,0.693558995,0.694661506,0.7704909059999999,0.8390893779999999,0.8599614259999999
27,0.6763907640000001,0.693555567,0.694813673,0.770697671,0.839076385,0.860070173
28,0.6762976629999999,0.69368381,0.694925438,0.77087332,0.838997022,0.860139985
29,0.6761864590000001,0.6939155459999999,0.694984777,0.770995295,0.8388742029999999,0.860152265
30,0.675933198,0.6940460209999999,0.695066205,0.7710304840000001,0.838807843,0.860068093
31,0.6758042259999999,0.694269446,0.6950173559999999,0.771065048,0.8387075,0.860029514
32,0.675815968,0.694592599,0.694962572,0.771156457,0.8386623209999999,0.8600732590000001
33,0.675883481,0.6949294840000001,0.695114288,0.7713412270000001,0.8388028009999999,0.860195968
34,0.675953054,0.69507436,0.695378907,0.771568699,0.838970668,0.860439588
35,0.6760229240000001,0.6951101820000001,0.695659727,0.7718010809999999,0.839086054,0.860689362
36,0.6760756609999999,0.6951395659999999,0.6958682070000001,0.7719886109999999,0.839119023,0.860861042
37,0.6760161720000001,0.6951849259999999,0.695926437,0.7720327909999999,0.8391258509999999,0.861004498
38,0.675963237,0.695236504,0.6960330370000001,0.772090857,0.839072632,0.861115137
39,0.675952675,0.6953082859999999,0.69618833,0.7722192720000001,0.8389890240000001,0.8611940770000001
40,0.675951794,0.695438819,0.696176817,0.7723871240000001,0.838978929,0.861242107
